,titles,y,price,sales,author
0,Pai Rico Pai Pobre,1,53.45,102,Kiyosaki Robert
1,Do Mil ao Milhão,0,28.45,84,Thiago Nigro
2,Livro Os Segredos da Mente Milionária,1,21.5,60,T. Harv Eker
3,"Livro Pai Rico, Pai Pobre -Robert T. Kiyosaki",1,43.98,46,Robert T. Kiyosaki
4,Pai Rico Pai Pobre,1,49,25,Robert T. Kiyosaki
5,"Pai Rico, Pai Pobre + Do Mil Ao Um Milhão",1,78.9,131,"Robert Kiyosaki, Thiago Nigro"
6,Pai Rico Pai Pobre,1,53.45,16,Kiyosaki Robert
7,Candlestick Um método para ampliar lucros na Bolsa de Valores,1,38.7,824,Carlos Alberto Debastiani
8,Pai Rico Pai Pobre - Edição 20 Anos Atualizada e Ampliada e Os Segredos da Mante Milionária,1,116,701,Robert T. Kiyosaki
9,Livro 101 Perguntas E Respostas Para Investidores Iniciantes,0,25,141,Tiago reis
10,Livro Criação De Riqueza,0,22.41,82,Paulo Vieira
11,"INVESTIDOR INTELIGENTE, O - 2ª ED",1,59.9,52,"GRAHAM, BENJAMIN"
12,Método financeiro do primo rico + Do mil ao milhão sem cortar o cafezinho,0,67.49,30,Thiago Nigro
13,O Homem Mais Rico da Babilônia,1,21.5,132,George S. Clason
14,Manual de Análise Técnica - Essência e estratégias avançadas,1,53.1,340,Marcos Abe
15,Livro Pai Rico Pai Pobre,1,53.51,222,Kiyosaki Robert
16,Lucrando com os Tubarões,0,40.5,34,Newton Linchen e Tarcísio S. Peres
17,Do Mil ao Milhão,0,26.45,51,Thiago Nigro
18,O Investidor Inteligente,0,59.84,223,Lourdes Sette
19,Coleção Novos Mercados - 3 Livros,1,75,2746,Marcelo C. Piazza
20,Do Mil ao Milhão,0,22,31,Thiago Nigro
21,Do Mil ao Milhão,0,27.45,74,Thiago Nigro
22,"Livro - Trabalhe 4 horas por semana - Fuja Da Rotina, Viva Onde Quiser E Fique Rico",0,55.5,12,Timothy Ferriss
23,Pega A Visão,0,39.99,445,Rick Chesther
24,A Favela Venceu,0,78.99,97,Rick Chesther
25,Do mil ao milhão - Casais Inteligentes enriquece juntos,0,59.9,25,"Thiago Nigro, Cerbasi"
26,Livro - Casais Inteligentes Enriquecem Juntos,0,39.9,155,Gustavo Cerbasi
27,Operando Na Bolsa De Valores Utilizando Analise Tecnica,1,53.1,125,Joseilton S. Correia
28,Warren Buffett e a análise de balanços,1,31.04,33,Mary Buffett
29,Livro - Do Mil ao Milhão Sem Cortar o Cafezinho,0,34.9,195,Thiago Nigro
30,Pega A Visão,0,29.9,48,Rick Chesther
31,Os segredos da mente milionária,1,37.9,317,T Harv Eker
32,Os segredos da mente milionária,1,37.9,11,T. Harv Eker
33,Quem Mexeu No Meu Queijo e Como Sair Do Labirinto,1,39,21,"JOHNSON, SPENCER"
34,"Pai Rico Pai Pobre - Edição 20 Anos Atualizada e Ampliada, Investidor Inteligente e Do Mil ao Milhão",1,159.49,24,Sem Cortar o Cafézinho
35,O poder do Equity + Smart Money,1,119.9,1,João Kepler
36,Fator de enriquecimento: Uma fórmula simples e poderosa,1,22,98,Paulo Vieira
37,"Livro - Pai Rico, Pai Pobre Nova edição atualizada",1,59.9,35,Robert T. Kiyosaki
38,Ganhe Mais Investindo Em Opcoes,1,30,193,Marcelo C. Piazza
39,Livro Método Financeiro Do Primo Rico Capa Dura Thiago Nigro,0,58.64,15,Thiago Nigro
40,Faça Fortuna Com Ações,0,50.49,17,Antes que seja Tarde
41,"Pai Rico Pai Pobre - Edição 20 Anos Atualizada e Ampliada, Os Segredos da Mante Milionária e Do Mil ao Milhão",1,134.54,530,Robert T. Kiyosaki / Thiago Nigro / T. Harv Eker
42,"LIVRO FUTURO DO DINHEIRO, O",0,38,14,GENTE EDITORA LTDA
43,Dinheiro: Os Segredos de Quem Tem,0,35.91,18,Gustavo Cerbasi
44,Iludidos pelo acaso,0,56.15,48,Nassim Nicholas Taleb
45,O Investidor Inteligente,1,63.83,13,Lourdes Sette
46,Orçamento Sem Falhas,0,34.9,20,Nath Finanças
47,Ponto de Inflexão,0,33.99,323,Flávio Augusto
48,Audaz - As 5 Competências Para Construir Carreiras e Negócios Inabaláveis Nos Dias De Hoje,0,39,2,Mauricio Benvenutti
49,Os Axiomas de Zurique / Faça Fortuna com Ações,1,114,2,Os Conselhos dos Banqueiros suíços para Orientar seus Investimentos
50,Movimento do caixa,0,58,27,são domingos
51,"Pai Rico, Pai Pobre - Edição De 20 Anos",1,48.9,38,"Kiyosaki,Robert T."
52,Warren Buffett e a análise de balanços,1,39.49,2,Como identificar empresas com vantagem competitiva de longo prazo por meio de suas demonstrações financeiras
53,Método Financeiro Do Primo Rico,0,44.54,4,Método Financeiro Do Primo Rico
54,Os Axiomas de Zurique / Do Mil ao Milhão,1,104.49,12,Sem Cortar o Cafézinho
55,Iludidos pelo acaso / Antifrágil,0,149,2,A influência da sorte nos mercados e na vida
56,Do Mil ao Milhão / Método Financeiro Do Primo Rico,0,105,1,Método Financeiro Do Primo Rico
57,Livro Investidor Inteligente,1,78.89,1,Benjamin Graham
58,O Investidor Inteligente / Como Fazer Amigos e Influenciar Pessoas,0,124.89,1,O Investidor Inteligente / Como Fazer Amigos e Influenciar Pessoas
59,PAI RICO PAI POBRE OS SEGREDOS DA MENTE E O HOMEM MAIS RICO DA HISTÓRIA,0,149,22,Carlos Wizard Martins/Robert T. Kiyosaki e Sharon L. Lechter
