data,values_g,diff_g,values_e,diff_e
2005-01-01,512555.163,-112284.35700000002,177653.088,-43609.97
2005-02-01,540210.582,27655.419000000053,167570.003,-10083.084999999992
2005-03-01,610238.053,70027.4709999999,178347.196,10777.193
2005-04-01,589855.454,-20382.59899999993,179719.148,1371.9519999999902
2005-05-01,589441.557,-413.8969999999972,190540.906,10821.758000000002
2005-06-01,584973.253,-4468.304000000004,193649.683,3108.777000000002
2005-07-01,561376.359,-23596.89399999997,189345.714,-4303.968999999983
2005-08-01,593417.325,32040.9659999999,211019.196,21673.48199999999
2005-09-01,576880.56,-16536.764999999898,232163.793,21144.59700000001
2005-10-01,559519.422,-17361.138000000035,213786.899,-18376.894
2005-11-01,570625.98,11106.55799999996,218715.469,4928.570000000007
2005-12-01,646149.476,75523.49600000004,248241.005,29525.535999999993
2006-01-01,540321.394,-105828.08200000005,277455.593,29214.58799999999
2006-02-01,550134.084,9812.69000000006,281969.41,4513.816999999981
2006-03-01,615765.614,65631.52999999991,257521.237,-24448.17299999998
2006-04-01,599551.824,-16213.78999999992,245872.336,-11648.900999999983
2006-05-01,611857.529,12305.704999999958,300792.976,54920.640000000014
2006-06-01,574508.006,-37349.52299999993,304626.326,3833.3499999999767
2006-07-01,559654.244,-14853.762000000104,317084.422,12458.09600000002
2006-08-01,605442.046,45787.802000000025,333675.58,16591.157999999996
2006-09-01,590027.422,-15414.623999999953,346615.732,12940.152000000002
2006-10-01,588774.628,-1252.7939999999944,343433.322,-3182.4100000000326
2006-11-01,567319.629,-21454.99900000007,344345.112,911.7900000000373
2006-12-01,638304.319,70984.69000000006,390286.304,45941.19199999998
2007-01-01,559463.0489,-78841.27009999997,387144.277,-3142.027000000002
2007-02-01,541452.4033,-18010.645600000047,364148.9312,-22995.34580000001
2007-03-01,622086.3873,80633.98399999994,430523.5812,66374.65000000002
2007-04-01,581697.2163,-40389.17099999997,404925.075,-25598.506200000003
2007-05-01,613093.1375,31395.921199999982,423981.7661,19056.691099999996
2007-06-01,601823.1032,-11270.034299999941,433099.8645,9118.098400000017
2007-07-01,585626.9738,-16196.129399999976,453207.2702,20107.405700000003
2007-08-01,609542.6401,23915.666299999924,493069.4652,39862.19499999995
2007-09-01,572173.8772,-37368.76289999997,469893.8568,-23175.60839999997
2007-10-01,623376.6415,51202.76430000004,563463.8159,93569.95910000004
2007-11-01,586261.3299,-37115.311600000015,539422.8209,-24040.994999999995
2007-12-01,657315.7712,71054.44129999995,582239.4215,42816.600600000005
2008-01-01,557232.6366,-100083.13459999999,530547.3015,-51692.12000000011
2008-02-01,554229.8073,-3002.829299999983,532679.1663,2131.8648000000976
2008-03-01,586665.3925,32435.585199999972,558019.7334,25340.567099999986
2008-04-01,593212.5875,6547.195000000065,589464.3811,31444.647699999972
2008-05-01,579073.8489,-14138.73860000004,580873.1511,-8591.229999999981
2008-06-01,560305.0166,-18768.83230000001,570126.4479,-10746.703199999989
2008-07-01,594201.4651,33896.44850000006,599724.4589,29598.01099999994
2008-08-01,577749.5833,-16451.881799999974,627610.103,27885.644100000034
2008-09-01,596100.9064,18351.32309999992,663032.6088,35422.50580000004
2008-10-01,607001.7624,10900.856000000029,658866.8962,-4165.712600000086
2008-11-01,562643.6356,-44358.12679999997,625070.9007,-33795.99549999996
2008-12-01,651891.7202,89248.08459999994,715237.7431,90166.84239999996
2009-01-01,536406.3389,-115485.38130000001,633103.609,-82134.13409999991
2009-02-01,512378.6143,-24027.724599999958,617720.782,-15382.827000000048
2009-03-01,567093.7176,54715.10329999996,700519.539,82798.75699999998
2009-04-01,565388.051,-1705.6665999999968,737570.05,37050.51100000006
2009-05-01,538684.07,-26703.98100000003,687715.543,-49854.5070000001
2009-06-01,539760.871,1076.801000000094,715570.3831,27854.84010000003
2009-07-01,542758.554,2997.682999999961,726088.402,10518.018900000025
2009-08-01,534094.665,-8663.888999999966,724843.942,-1244.4599999999627
2009-09-01,545078.95,10984.284999999916,761222.426,36378.48399999994
2009-10-01,599644.925,54565.97500000009,787765.596,26543.170000000042
2009-11-01,551032.466,-48612.45900000003,698273.455,-89492.14100000006
2009-12-01,664457.399,113424.93299999996,819605.484,121332.0290000001
2010-01-01,654202.264,-10255.13500000001,511031.731,-308573.753
2010-02-01,654294.827,92.56300000008196,465377.459,-45654.272000000055
2010-03-01,694141.558,39846.73099999991,644551.9437,179174.48469999997
2010-04-01,607506.779,-86634.77899999998,697389.5482,52837.604500000016
2010-05-01,582042.9,-25463.878999999957,751664.296,54274.74780000001
2010-06-01,571140.131,-10902.768999999971,743878.682,-7785.613999999943
2010-07-01,583503.037,12362.905999999959,765862.401,21983.718999999925
2010-08-01,586265.033,2761.996000000043,754246.48,-11615.920999999973
2010-09-01,583459.506,-2805.527000000002,764545.313,10298.832999999984
2010-10-01,598530.562,15071.055999999982,733748.033,-30797.27999999991
2010-11-01,611718.127,13187.564999999944,749601.1215,15853.088499999954
2010-12-01,709431.931,97713.804,792359.6885,42758.56700000004
2011-01-01,597860.308,-111571.62300000002,638352.2955,-154007.39300000004
2011-02-01,638275.979,40415.67100000009,665081.8722,26729.576699999976
2011-03-01,894975.99,256700.01099999994,425559.103,-239522.76919999998
2011-04-01,964359.196,69383.206,298334.8022,-127224.30080000003
2011-05-01,769371.085,-194988.11100000003,545085.761,246750.95880000008
2011-06-01,692313.134,-77057.951,646785.505,101699.74399999995
2011-07-01,711844.197,19531.063000000082,594505.6382,-52279.86679999996
2011-08-01,777295.44,65451.2429999999,619380.205,24874.566799999913
2011-09-01,824087.139,46791.69900000002,507933.438,-111446.76699999993
2011-10-01,802203.572,-21883.566999999923,533662.16,25728.72200000001
2011-11-01,830207.554,28003.98199999996,501730.413,-31931.747000000032
2011-12-01,959081.818,128874.26399999997,513896.085,12165.67200000002
2012-01-01,808199.892,-150881.92599999998,439595.377,-74300.70800000004
2012-02-01,809679.456,1479.564000000013,487041.246,47445.869000000006
2012-03-01,887627.931,77948.47499999998,532639.462,45598.21600000007
2012-04-01,838506.184,-49121.746999999974,482637.085,-50002.37700000004
2012-05-01,865521.024,27014.839999999967,498002.385,15365.299999999988
2012-06-01,844647.902,-20873.121999999974,439832.616,-58169.76900000003
2012-07-01,839052.048,-5595.85400000005,443502.235,3669.619000000006
2012-08-01,889791.052,50739.00400000007,474611.566,31109.331000000006
2012-09-01,826753.373,-63037.679000000004,480529.949,5918.383000000031
2012-10-01,897376.944,70623.571,532641.697,52111.74800000002
2012-11-01,851044.138,-46332.80599999998,525076.9888,-7564.708199999994
2012-12-01,947644.825,96600.68699999992,498348.9234,-26728.06540000002
2013-01-01,824795.621,-122849.20399999991,495532.57,-2816.353400000022
2013-02-01,755868.578,-68927.04300000006,499561.614,4029.0439999999944
2013-03-01,877078.355,121209.777,492401.798,-7159.815999999992
2013-04-01,898023.975,20945.619999999995,490832.659,-1569.1390000000247
2013-05-01,926950.786,28926.810999999987,497308.677,6476.01800000004
2013-06-01,838939.081,-88011.70499999996,515030.34,17721.663
2013-07-01,858133.83,19194.748999999953,540042.335,25011.994999999937
2013-08-01,911362.147,53228.31700000004,588496.956,48454.62100000004
2013-09-01,840782.122,-70580.02500000002,593142.606,4645.650000000023
2013-10-01,906212.968,65430.84600000002,644873.768,51731.16200000001
2013-11-01,897126.302,-9086.665999999968,629495.588,-15378.180000000051
2013-12-01,941548.328,44422.025999999954,670033.956,40538.36800000002
2014-01-01,850742.694,-90805.63399999996,610430.599,-59603.35699999996
2014-02-01,855295.043,4552.348999999929,607367.7135,-3062.8855000000913
2014-03-01,903148.706,47853.66300000006,553071.427,-54296.28649999993
2014-04-01,956774.653,53625.947000000044,586983.191,33911.76399999997
2014-05-01,942745.104,-14029.548999999999,586640.826,-342.3649999999907
2014-06-01,852595.889,-90149.21500000008,560580.465,-26060.361000000034
2014-07-01,879896.069,27300.18000000005,596438.373,35857.908000000054
2014-08-01,913080.028,33183.95900000003,622959.812,26521.439000000013
2014-09-01,913585.258,505.2299999999814,649507.994,26548.181999999913
2014-10-01,965120.377,51535.11899999995,720266.99,70758.99600000004
2014-11-01,845512.827,-119607.54999999993,686150.95,-34116.04000000004
2014-12-01,971289.198,125776.37099999993,796194.906,110043.956
2015-01-01,887345.737,-83943.46100000001,711871.221,-84323.68499999994
2015-02-01,716129.869,-171215.86800000002,698570.149,-13301.072000000044
2015-03-01,783760.428,67630.55900000001,800382.29,101812.14100000006
2015-04-01,794263.82,10503.391999999993,805151.337,4769.0470000000205
2015-05-01,762258.764,-32005.055999999982,767400.062,-37751.27500000002
2015-06-01,769552.53,7293.7660000000615,786020.096,18620.033999999985
2015-07-01,762618.946,-6933.584000000032,797610.834,11590.738000000012
2015-08-01,747261.46,-15357.486000000034,821787.466,24176.631999999983
2015-09-01,743934.012,-3327.447999999975,841227.55,19440.08400000003
2015-10-01,797607.837,53673.82500000007,884189.793,42962.2429999999
2015-11-01,758493.16,-39114.677000000025,731859.427,-152330.36599999992
2015-12-01,913506.63,155013.46999999997,809990.831,78131.40399999998
2016-01-01,752558.76,-160947.87,642620.022,-167370.809
2016-02-01,817672.372,65113.611999999965,642489.759,-130.2630000000354
2016-03-01,898171.745,80499.37300000002,652434.729,9944.970000000088
2016-04-01,858668.445,-39503.30000000005,681713.796,29279.066999999923
2016-05-01,774872.832,-83795.6129999999,767932.666,86218.87
2016-06-01,763744.946,-11127.886000000057,722291.14,-45641.525999999954
2016-07-01,756147.769,-7597.177000000025,751981.721,29690.581000000006
2016-08-01,792905.267,36757.49800000002,782392.217,30410.495999999926
2016-09-01,783513.661,-9391.606000000029,784989.057,2596.840000000084
2016-10-01,852895.813,69382.152,695072.652,-89916.40500000003
2016-11-01,913625.641,60729.82799999998,581390.213,-113682.43900000001
2016-12-01,1025739.207,112113.56600000011,651160.972,69770.75899999996
2017-01-01,874032.948,-151706.25900000008,503107.826,-148053.14599999995
2017-02-01,884125.439,10092.491000000038,516231.239,13123.413
2017-03-01,962693.605,78568.16599999997,601417.603,85186.364
2017-04-01,886691.236,-76002.36899999995,591643.674,-9773.929000000004
2017-05-01,911972.309,25281.072999999975,626202.015,34558.341000000015
2017-06-01,893889.089,-18083.219999999972,630408.822,4206.80700000003
2017-07-01,867364.043,-26525.04600000009,621770.116,-8638.706000000006
2017-08-01,876340.503,8976.46000000008,680184.482,58414.36599999992
2017-09-01,820056.391,-56284.11200000008,707130.196,26945.714000000036
2017-10-01,824708.311,4651.920000000042,749959.524,42829.32799999998
2017-11-01,790831.983,-33876.32799999998,696732.575,-53226.94900000002
2017-12-01,879407.474,88575.49100000004,763327.174,66594.59900000005
2018-01-01,748417.528,-130989.946,711387.329,-51939.84499999997
2018-02-01,728125.347,-20292.1810000001,661307.028,-50080.30099999998
2018-03-01,844241.43,116116.0830000001,747227.25,85920.22199999995
2018-04-01,775947.138,-68294.29200000002,698660.319,-48566.93099999998
2018-05-01,698619.736,-77327.402,709072.121,10411.802000000025
2018-06-01,708186.606,9566.869999999995,758688.606,49616.484999999986
2018-07-01,623490.117,-84696.48900000006,828071.926,69383.31999999995
2018-08-01,686775.505,63285.388000000035,941759.68,113687.75400000007
2018-09-01,620249.303,-66526.20200000005,885615.635,-56144.04500000004
2018-10-01,627952.185,7702.8820000001,1008271.573,122655.93799999997
2018-11-01,635715.412,7763.226999999955,966350.417,-41921.15599999996
2018-12-01,727972.135,92256.723,1040349.421,73999.00399999996
2019-01-01,636920.493,-91051.64199999999,953757.273,-86592.14799999993
2019-02-01,618487.969,-18432.523999999976,901277.422,-52479.851000000024
2019-03-01,659781.81,41293.841000000015,912346.569,11069.146999999997
2019-04-01,673912.349,14130.53899999999,947253.826,34907.25699999998
2019-05-01,658413.223,-15499.126000000047,977516.849,30263.023000000045
2019-06-01,621973.185,-36440.03799999994,894082.097,-83434.7520000001
2019-07-01,663121.972,41148.786999999895,952218.792,58136.695000000065
2019-08-01,685349.527,22227.55500000005,978785.362,26566.56999999995
2019-09-01,645005.924,-40343.603,977898.199,-887.1629999999423
2019-10-01,693645.748,48639.82400000002,1076485.714,98587.5149999999
2019-11-01,663325.24,-30320.50800000003,1024535.073,-51950.640999999945
2019-12-01,727753.692,64428.45200000005,1077621.99,53086.917000000016
2020-01-01,627853.74,-99899.95200000005,977533.249,-100088.74100000004
2020-02-01,627037.53,-816.2099999999627,934390.826,-43142.42299999995
2020-03-01,544317.301,-82720.22900000005,794070.201,-140320.625
2020-04-01,436700.079,-107617.22199999995,652729.566,-141340.635
2020-05-01,483620.357,46920.27799999999,686326.285,33596.71900000004
2020-06-01,536712.63,53092.27299999999,717123.021,30796.735999999917
2020-07-01,607250.824,70538.19400000002,818279.187,101156.16600000008
2020-08-01,592108.006,-15142.81799999997,828866.705,10587.517999999924
2020-09-01,632812.881,40704.875,885846.549,56979.84400000004
2020-10-01,672522.731,39709.84999999998,967739.247,81892.69799999997
2020-11-01,655609.737,-16912.994000000064,881617.663,-86121.58400000003
2020-12-01,760385.479,104775.74200000009,995166.123,113548.46000000008
2021-01-01,648275.617,-112109.86200000008,867825.909,-127340.21400000004
2021-02-01,574102.409,-74173.20799999998,827623.504,-40202.40500000003
2021-03-01,576042.979,1940.5700000000652,780068.075,-47555.429000000004
2021-04-01,531111.653,-44931.326,774508.163,-5559.912000000011
2021-05-01,662921.451,131809.79799999995,777229.319,2721.1560000000754
2021-06-01,708748.979,45827.52800000005,649797.67,-127431.64899999998
2021-07-01,792331.976,83582.99699999997,703889.117,54091.44699999993
2021-08-01,791855.62,-476.35600000002887,667094.72,-36794.397
2021-09-01,825738.495,33882.875,647236.458,-19858.261999999988
