data,prod_pe,prod_et
2005-01-01,7654.0,1.0
2005-02-01,6675.0,1.0
2005-03-01,7245.0,1.0
2005-04-01,7069.0,1.0
2005-05-01,7438.0,1.0
2005-06-01,7172.0,1.0
2005-07-01,6530.0,1.0
2005-08-01,7331.0,1.0
2005-09-01,6890.0,1.0
2005-10-01,6262.0,1.0
2005-11-01,5792.0,1.0
2005-12-01,5675.0,1.0
2006-01-01,6292.0,1.0
2006-02-01,5974.0,1.0
2006-03-01,6222.0,1.0
2006-04-01,5220.0,1.0
2006-05-01,5331.0,1.0
2006-06-01,6493.0,1.0
2006-07-01,6526.0,1.0
2006-08-01,6185.0,1.0
2006-09-01,6141.0,1.0
2006-10-01,6358.0,1.0
2006-11-01,6026.0,1.0
2006-12-01,5878.0,1.0
2007-01-01,5792.0,1.0
2007-02-01,5052.0,1.0
2007-03-01,4960.0,1.0
2007-04-01,4499.0,1.0
2007-05-01,5642.0,1.0
2007-06-01,5454.0,1.0
2007-07-01,5851.0,1.0
2007-08-01,5668.0,1.0
2007-09-01,4305.0,1.0
2007-10-01,5524.0,1.0
2007-11-01,5177.0,1.0
2007-12-01,5029.0,1.0
2008-01-01,4829.0,1.0
2008-02-01,4539.0,1.0
2008-03-01,4784.0,1.0
2008-04-01,3906.0,1.0
2008-05-01,4789.0,1.0
2008-06-01,4594.0,1.0
2008-07-01,4581.0,1.0
2008-08-01,4564.0,1.0
2008-09-01,3685.0,1.0
2008-10-01,648.0,1.0
2008-11-01,3236.0,1.0
2008-12-01,3795.0,1.0
2009-01-01,3256.0,1.0
2009-02-01,2839.13,1.0
2009-03-01,3047.24,1.0
2009-04-01,3183.43,1.0
2009-05-01,3599.31,1.0
2009-06-01,3512.64,1.0
2009-07-01,3548.38,1.0
2009-08-01,2597.03,1.0
2009-09-01,6608.36,1.0
2009-10-01,8440.75,1.0
2009-11-01,5958.91,1.0
2009-12-01,6410.95,1.0
2010-01-01,7140.91,1.0
2010-02-01,6717.12,1.0
2010-03-01,30403.46,1.0
2010-04-01,53890.96,1.0
2010-05-01,89686.59,1.0
2010-06-01,86662.32,1.0
2010-07-01,94332.82,1.0
2010-08-01,91805.97,1.0
2010-09-01,86864.34,1.0
2010-10-01,98482.38,1.0
2010-11-01,81001.09,1.0
2010-12-01,112149.44,1.0
2011-01-01,185834.32,1.0
2011-02-01,135835.34,1.0
2011-03-01,134397.4,1.0
2011-04-01,131475.05,1.0
2011-05-01,203115.26,1.0
2011-06-01,204443.69,1.0
2011-07-01,220934.36,1.0
2011-08-01,145719.09,1.0
2011-09-01,143807.26,1.0
2011-10-01,208111.79,1.0
2011-11-01,251620.78,1.0
2011-12-01,257923.62,1.0
2012-01-01,230119.07,21710.082
2012-02-01,131070.3,2515.099
2012-03-01,142443.37,6467.832
2012-04-01,132048.6,217299.209
2012-05-01,136784.51,730343.525
2012-06-01,136115.73,611272.962
2012-07-01,143006.43,965493.596
2012-08-01,143676.57,1045614.976
2012-09-01,133961.53,894467.785
2012-10-01,131427.76,870339.103
2012-11-01,134968.1,692202.27
2012-12-01,140711.58,346892.231
2013-01-01,84443.31,29052.252
2013-02-01,137861.34,6945.012
2013-03-01,155012.04,48593.933
2013-04-01,304384.57,641527.941
2013-05-01,343253.96,962596.486
2013-06-01,408634.41,755520.495
2013-07-01,381212.2,909002.331
2013-08-01,359501.68,969835.466
2013-09-01,433979.95,896286.337
2013-10-01,384525.01,817993.832
2013-11-01,488041.01,733949.473
2013-12-01,537376.24,450859.891
2014-01-01,538124.71,31298.938
2014-02-01,529321.66,33080.633
2014-03-01,694116.0,90264.426
2014-04-01,729993.92,534414.945
2014-05-01,826300.34,896395.191
2014-06-01,844269.64,1018406.461
