,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Policy_Sales_Channel,y
15542,1,57,1,28.0,0,0,1,122.0,1
5692,0,21,1,28.0,0,1,1,154.0,1
2162,0,21,1,37.0,0,1,1,152.0,0
14865,0,40,1,28.0,0,0,1,158.0,1
23202,0,21,1,30.0,1,1,0,160.0,0
19376,0,61,1,48.0,1,0,0,26.0,0
12079,1,50,1,28.0,0,2,1,26.0,1
10901,1,45,1,24.0,0,0,1,124.0,1
15724,0,48,1,3.0,0,2,1,26.0,1
33384,0,49,1,28.0,0,0,1,124.0,0
28939,0,25,1,33.0,1,1,0,152.0,0
10445,1,48,1,3.0,0,0,1,124.0,1
23269,0,24,1,47.0,1,1,0,152.0,0
26632,1,22,1,28.0,0,1,1,154.0,1
25492,0,21,1,37.0,1,1,0,160.0,0
28131,1,27,1,28.0,0,0,1,157.0,1
10593,0,25,1,46.0,0,0,1,124.0,1
29995,1,32,1,46.0,0,1,1,156.0,0
19475,1,26,1,46.0,0,0,1,156.0,1
16235,0,40,1,28.0,0,0,1,124.0,0
6645,0,22,1,46.0,0,1,1,152.0,0
9284,1,42,1,11.0,0,0,1,124.0,1
23312,0,23,1,15.0,0,1,0,151.0,0
8038,1,25,1,28.0,1,1,0,152.0,0
31956,1,23,1,30.0,1,1,0,152.0,0
8557,0,60,1,28.0,0,0,1,26.0,1
29644,0,54,1,28.0,0,0,1,124.0,1
19341,1,30,1,3.0,0,0,1,155.0,1
29436,0,28,1,8.0,0,1,1,124.0,0
16443,1,30,1,28.0,0,0,1,156.0,1
31729,0,45,1,8.0,0,0,1,26.0,1
24456,0,49,1,28.0,0,0,1,26.0,0
17342,0,71,1,28.0,1,0,0,26.0,0
17987,1,29,1,28.0,0,1,1,26.0,1
13015,1,22,1,30.0,1,1,0,152.0,0
29638,0,41,1,28.0,1,0,0,124.0,0
7909,0,51,1,28.0,0,0,1,124.0,0
15292,1,55,1,7.0,0,0,1,124.0,1
14798,1,45,1,28.0,0,0,1,124.0,1
936,0,46,1,28.0,0,0,1,124.0,1
18977,1,78,1,8.0,0,0,1,26.0,1
12544,0,28,1,28.0,0,1,1,156.0,1
2845,1,35,1,30.0,1,0,0,152.0,0
31892,1,48,1,28.0,0,0,1,124.0,1
18713,1,56,1,28.0,0,0,1,26.0,1
11404,1,51,1,28.0,0,0,1,124.0,1
5835,1,23,1,37.0,0,1,1,152.0,1
8746,0,35,1,47.0,0,0,1,157.0,1
26190,0,44,1,29.0,0,0,0,4.0,0
23334,0,39,1,43.0,0,0,1,154.0,1
26939,1,52,1,15.0,0,0,0,14.0,0
25996,1,21,1,41.0,0,1,1,160.0,1
8936,0,56,1,28.0,0,0,1,124.0,0
12169,0,59,1,28.0,0,0,1,122.0,1
21169,0,23,1,46.0,1,1,1,152.0,0
9573,1,36,1,28.0,0,0,1,156.0,1
6363,1,24,1,13.0,1,1,0,152.0,0
27485,1,67,1,28.0,0,2,1,26.0,1
20429,1,80,1,28.0,0,0,1,26.0,0
35895,1,27,1,6.0,1,1,0,152.0,0
4924,1,45,1,11.0,0,0,1,26.0,0
9936,1,45,1,28.0,0,0,1,163.0,1
19862,1,23,1,47.0,0,1,1,152.0,0
2449,1,48,1,47.0,0,0,1,26.0,1
18896,1,47,1,28.0,0,2,1,52.0,1
27042,0,25,1,41.0,1,1,0,152.0,0
30202,0,29,1,29.0,0,0,1,124.0,1
6769,1,52,1,8.0,0,0,1,25.0,1
14495,0,28,1,36.0,1,1,0,152.0,0
15460,1,32,1,18.0,0,0,1,154.0,1
31092,1,26,1,33.0,1,1,0,152.0,0
22718,0,40,1,28.0,0,0,1,26.0,0
9954,0,22,1,33.0,1,1,0,152.0,0
22418,0,22,1,15.0,0,1,1,152.0,0
14088,0,25,1,30.0,1,1,0,152.0,0
16138,1,55,1,28.0,0,0,1,26.0,0
13278,1,55,1,28.0,0,0,1,30.0,1
24589,1,28,1,8.0,0,1,1,152.0,1
22950,0,26,1,28.0,1,1,0,152.0,0
9900,1,26,1,50.0,0,1,1,156.0,1
24915,1,58,1,20.0,0,2,1,26.0,1
4798,1,49,1,28.0,0,2,1,124.0,0
9144,0,47,1,28.0,0,0,1,26.0,0
49,0,27,1,13.0,1,1,0,152.0,0
16033,1,57,1,28.0,0,0,1,26.0,1
5536,1,22,1,31.0,0,1,0,160.0,0
6586,0,64,1,28.0,0,0,1,3.0,0
6778,0,32,1,28.0,0,1,1,26.0,1
28818,0,24,1,43.0,0,1,1,152.0,1
15769,1,23,1,15.0,0,1,1,152.0,1
30282,1,46,1,43.0,0,0,1,124.0,1
24581,0,35,1,28.0,0,0,1,26.0,1
4672,0,43,1,28.0,0,2,1,122.0,1
15361,0,25,1,37.0,1,1,0,152.0,0
5711,0,36,1,15.0,0,0,1,124.0,1
253,0,42,1,11.0,0,0,1,163.0,1
12187,0,67,1,28.0,0,0,1,26.0,1
27108,1,62,1,28.0,0,0,0,26.0,0
9393,0,43,1,11.0,0,0,1,26.0,1
2881,1,55,1,28.0,0,2,1,122.0,0
31767,1,55,1,39.0,0,0,1,157.0,1
25574,1,28,1,9.0,1,1,0,152.0,0
273,1,45,1,2.0,1,0,1,124.0,1
18310,1,41,1,11.0,0,0,1,124.0,1
26182,0,24,1,47.0,0,1,1,152.0,1
12288,1,24,1,10.0,1,1,0,152.0,0
22283,1,23,1,21.0,1,1,0,152.0,0
6432,0,47,1,11.0,0,0,1,124.0,1
28080,0,37,1,41.0,0,0,1,109.0,0
1000,0,41,1,17.0,1,0,0,124.0,0
18359,1,38,1,28.0,0,0,1,124.0,1
32865,0,23,1,10.0,1,1,0,152.0,0
23233,1,26,1,32.0,0,1,1,124.0,0
17486,0,45,1,28.0,0,0,1,26.0,1
36472,0,45,1,28.0,0,0,1,26.0,0
5382,1,39,1,36.0,0,0,0,124.0,1
14516,1,63,1,33.0,0,0,1,26.0,0
10778,1,36,1,28.0,0,0,0,156.0,0
15196,0,24,1,14.0,0,1,1,152.0,0
17546,1,54,1,8.0,0,0,1,26.0,1
19481,0,21,1,46.0,0,1,1,152.0,0
12006,0,72,1,46.0,1,0,0,26.0,0
8820,0,43,1,46.0,1,0,0,152.0,0
26184,1,23,1,37.0,0,1,1,152.0,1
31772,1,43,1,28.0,0,0,0,124.0,0
25943,1,48,1,13.0,0,0,1,26.0,1
21821,0,34,1,35.0,0,1,1,151.0,1
31058,1,24,1,10.0,0,1,1,152.0,0
16409,0,32,1,34.0,0,0,1,124.0,1
31567,0,29,1,45.0,1,1,0,152.0,0
773,0,45,1,15.0,0,0,1,124.0,1
28957,1,29,1,29.0,0,0,1,156.0,1
27119,0,21,1,25.0,0,1,1,152.0,0
11250,1,55,1,28.0,0,2,1,122.0,1
25389,0,47,1,50.0,1,0,0,8.0,0
7885,0,73,1,28.0,1,0,0,26.0,0
34463,1,44,1,28.0,0,0,1,124.0,0
29479,1,44,1,28.0,0,0,1,122.0,1
6288,1,53,1,28.0,0,2,1,124.0,1
6657,0,78,1,28.0,0,0,1,26.0,0
15599,1,54,1,50.0,0,0,1,8.0,1
7784,0,34,1,15.0,1,0,0,152.0,0
12053,0,42,1,28.0,1,0,0,26.0,0
24196,0,26,1,41.0,1,1,0,152.0,0
4815,0,57,1,28.0,0,0,1,122.0,0
27700,1,23,1,28.0,0,0,1,156.0,0
10583,1,30,1,50.0,0,1,1,154.0,1
37177,1,62,1,3.0,0,0,1,156.0,0
32497,0,39,1,28.0,0,0,1,124.0,1
9818,1,58,1,38.0,0,0,1,26.0,1
27737,0,44,1,47.0,0,0,1,26.0,1
3308,1,50,1,41.0,0,0,1,124.0,1
22346,1,64,1,28.0,1,0,0,23.0,0
35355,1,43,1,28.0,1,0,0,26.0,0
12050,1,69,1,28.0,0,0,1,122.0,0
15908,1,44,1,50.0,1,0,0,152.0,0
27705,0,57,1,47.0,0,0,1,124.0,1
31453,0,53,1,43.0,0,0,1,124.0,1
7478,0,25,1,18.0,1,1,0,160.0,0
31801,1,46,1,28.0,0,0,1,26.0,1
18597,0,49,1,8.0,0,0,1,25.0,1
11636,1,27,1,26.0,1,1,0,152.0,0
5118,1,47,1,12.0,0,0,1,26.0,1
26171,1,34,1,29.0,1,0,0,152.0,0
23402,0,27,1,45.0,1,1,0,160.0,0
30019,1,33,1,41.0,0,1,1,124.0,1
20139,1,38,1,8.0,0,0,1,124.0,0
24006,0,41,1,8.0,0,0,1,26.0,1
26231,1,25,1,49.0,0,1,0,152.0,1
13966,0,33,1,28.0,0,1,1,124.0,1
5267,0,25,1,11.0,1,1,0,152.0,0
23873,1,41,1,28.0,0,2,1,26.0,1
7416,1,41,1,28.0,0,0,1,157.0,1
3624,0,28,1,28.0,0,0,1,26.0,1
27704,0,55,1,7.0,0,0,1,156.0,1
7217,0,56,1,28.0,0,0,1,124.0,1
12724,1,62,1,28.0,1,0,0,122.0,0
4638,1,34,1,45.0,0,0,1,156.0,0
22311,1,52,1,28.0,0,2,1,26.0,1
31548,0,25,1,28.0,0,1,1,152.0,1
18922,0,37,1,33.0,0,0,1,13.0,0
10406,1,44,1,33.0,0,2,1,55.0,1
701,0,45,1,28.0,0,0,1,26.0,1
25039,0,25,1,30.0,1,1,0,152.0,0
35578,1,24,1,7.0,1,1,0,152.0,0
33613,0,28,1,28.0,1,1,0,152.0,0
17896,0,41,1,28.0,0,2,1,26.0,1
8874,0,28,1,8.0,0,0,1,156.0,1
26244,1,62,1,11.0,0,0,1,26.0,1
24096,0,24,1,11.0,0,1,1,26.0,1
11535,1,59,1,33.0,0,0,1,124.0,1
29292,0,31,1,28.0,1,0,0,124.0,0
3502,1,54,1,15.0,0,2,1,14.0,1
3181,0,39,1,29.0,0,0,1,155.0,1
29649,1,44,1,41.0,0,0,1,124.0,1
33084,1,48,1,46.0,0,0,1,124.0,0
23801,1,53,1,28.0,0,0,1,26.0,0
1970,0,24,1,27.0,1,1,0,26.0,0
1425,1,24,1,28.0,0,1,1,124.0,0
11872,0,25,1,41.0,1,1,0,152.0,0
1696,0,22,1,11.0,0,1,1,152.0,1
19568,1,21,1,36.0,0,1,1,152.0,0
21980,1,46,1,8.0,0,0,1,26.0,1
27212,1,45,1,8.0,0,0,1,124.0,0
14902,0,22,1,3.0,0,0,1,26.0,1
21922,1,24,1,50.0,0,1,1,152.0,0
23175,1,24,1,29.0,1,0,1,154.0,0
4569,0,28,1,8.0,0,1,1,152.0,1
3989,1,50,1,28.0,0,0,1,124.0,1
31905,0,27,1,28.0,0,1,1,124.0,1
23618,0,22,1,36.0,1,1,0,152.0,0
28703,1,49,1,28.0,0,0,0,26.0,0
36243,1,47,1,28.0,1,0,0,157.0,0
10579,1,40,1,32.0,0,0,1,124.0,1
3559,1,56,1,28.0,0,2,1,155.0,1
12542,1,51,1,15.0,0,2,1,14.0,1
251,1,52,1,28.0,0,0,1,26.0,1
15190,1,63,1,28.0,0,0,1,124.0,1
17525,0,39,1,28.0,0,0,1,26.0,0
31879,1,72,1,28.0,0,0,1,26.0,0
33105,1,25,1,35.0,1,1,0,152.0,0
5147,0,27,1,14.0,0,1,1,152.0,0
22606,0,25,1,50.0,0,1,1,124.0,0
10758,0,23,1,37.0,0,1,1,152.0,1
29528,0,30,1,35.0,0,0,1,163.0,1
1097,0,37,1,18.0,0,0,0,124.0,1
10840,1,58,1,8.0,0,0,1,26.0,1
26031,1,46,1,8.0,0,0,1,124.0,1
14743,1,23,1,33.0,0,0,1,156.0,0
20700,1,22,1,3.0,0,1,0,152.0,0
27514,1,37,1,14.0,0,0,1,124.0,1
23282,1,41,1,28.0,0,0,1,124.0,1
144,0,37,1,46.0,0,0,1,124.0,1
14916,1,41,1,33.0,0,0,1,124.0,1
34430,1,26,1,36.0,1,1,0,152.0,0
9335,0,21,1,33.0,1,1,0,152.0,0
29067,1,20,1,30.0,1,1,1,163.0,0
10324,1,44,1,28.0,0,0,1,124.0,1
14634,1,44,1,28.0,0,0,1,124.0,1
7238,0,41,1,11.0,0,0,1,124.0,0
28824,0,61,1,28.0,0,2,1,24.0,1
27267,1,43,1,36.0,0,0,1,124.0,1
6592,0,50,1,28.0,0,0,1,122.0,1
24016,1,44,1,29.0,1,0,0,124.0,0
21983,1,24,1,17.0,1,1,0,152.0,0
10656,0,45,1,30.0,1,0,0,26.0,0
4519,0,35,1,14.0,0,0,1,157.0,1
16332,0,53,1,2.0,1,0,0,124.0,0
15385,1,27,1,28.0,1,1,0,152.0,0
2909,0,56,1,46.0,0,0,1,26.0,1
32448,0,50,1,28.0,0,0,1,124.0,1
4212,0,20,1,47.0,0,1,1,160.0,1
11671,1,61,1,0.0,0,2,1,26.0,1
23058,1,57,1,47.0,0,0,1,124.0,1
12661,1,47,1,48.0,1,0,0,124.0,0
494,1,22,1,28.0,0,0,1,26.0,0
7653,0,39,1,28.0,0,0,1,26.0,1
10441,0,52,1,46.0,0,0,0,152.0,0
30535,0,25,1,44.0,0,1,0,152.0,0
2328,1,48,1,28.0,1,0,0,124.0,0
9683,0,42,1,8.0,0,0,1,7.0,1
22120,0,24,1,8.0,0,1,1,152.0,1
7243,0,26,1,15.0,1,1,0,152.0,0
15027,1,41,1,28.0,0,0,1,124.0,1
33416,0,28,1,23.0,1,1,0,152.0,0
27756,1,22,1,13.0,1,1,0,152.0,0
9721,1,28,1,9.0,1,1,0,152.0,0
548,1,52,1,28.0,0,0,1,26.0,0
29254,0,49,1,28.0,0,0,1,26.0,1
23900,0,31,1,8.0,0,0,1,124.0,1
27574,0,53,1,28.0,0,0,1,26.0,0
3976,1,41,1,28.0,0,0,1,26.0,1
10350,1,25,1,29.0,1,1,0,152.0,0
27128,1,39,1,29.0,0,0,1,154.0,0
953,1,71,1,15.0,0,0,0,152.0,0
10999,1,60,1,28.0,1,0,0,55.0,0
23034,0,48,1,28.0,0,0,1,26.0,1
33786,1,39,1,18.0,0,0,0,124.0,0
5555,0,25,1,15.0,0,1,1,152.0,0
23056,1,33,1,28.0,1,0,0,111.0,0
4488,1,57,1,28.0,0,0,1,26.0,0
21216,1,26,1,46.0,0,1,1,157.0,1
23143,0,75,1,28.0,0,0,1,26.0,1
4507,1,60,1,28.0,1,0,0,26.0,0
21844,1,36,1,22.0,0,0,1,154.0,1
32413,0,48,1,8.0,0,2,1,124.0,0
22764,1,57,1,8.0,0,0,1,124.0,1
637,0,68,1,28.0,0,0,1,124.0,0
17122,1,58,1,28.0,0,0,1,156.0,1
32068,0,49,1,28.0,0,0,1,26.0,1
25505,1,46,1,8.0,0,0,1,19.0,1
3005,1,37,1,28.0,0,0,1,124.0,0
27337,0,43,1,28.0,0,0,1,26.0,1
21550,0,39,1,48.0,1,0,0,122.0,0
16045,1,57,1,12.0,0,0,1,26.0,1
19571,1,56,1,8.0,1,0,0,122.0,0
16779,1,57,1,7.0,1,0,0,26.0,0
2641,1,42,1,28.0,0,0,1,26.0,1
9311,1,67,1,38.0,0,0,1,124.0,1
8577,0,24,1,44.0,1,1,0,152.0,0
6187,1,32,1,28.0,1,1,0,152.0,0
31261,1,52,1,8.0,0,0,1,26.0,0
